hidden_layers,neurons,activation,epochs,learning_rate,batch_size,accuracy
1,4,linear,50,1.0,64,0.6048780487804878
1,4,linear,50,1.0,128,0.7853658536585366
1,4,linear,50,1.0,256,0.8048780487804879
1,4,linear,50,1.0,512,0.7804878048780488
1,4,linear,50,0.1,16,0.8
1,4,linear,50,0.1,32,0.7902439024390244
1,4,linear,50,0.1,64,0.775609756097561
1,4,linear,50,0.1,128,0.8
1,4,linear,50,0.1,256,0.8
1,4,linear,50,0.1,512,0.7951219512195122
1,4,linear,50,0.01,16,0.8048780487804879
1,4,linear,50,0.01,32,0.8097560975609757
1,4,linear,50,0.01,64,0.7951219512195122
1,4,linear,50,0.01,128,0.8048780487804879
1,4,linear,50,0.01,256,0.7902439024390244
1,4,linear,50,0.01,512,0.7951219512195122
1,4,linear,50,0.001,16,0.7951219512195122
1,4,linear,50,0.001,32,0.7951219512195122
1,4,linear,50,0.001,64,0.8
1,4,linear,50,0.001,128,0.7804878048780488
1,4,linear,50,0.001,256,0.775609756097561
1,4,linear,50,0.001,512,0.7609756097560976
1,4,linear,50,0.0001,16,0.7853658536585366
1,4,linear,50,0.0001,32,0.7804878048780488
1,4,linear,50,0.0001,64,0.6341463414634146
1,4,linear,50,0.0001,128,0.6634146341463415
1,4,linear,50,0.0001,256,0.6829268292682927
1,4,linear,50,0.0001,512,0.4975609756097561
1,4,linear,100,10.0,16,0.7902439024390244
1,4,linear,100,10.0,32,0.6780487804878049
1,4,linear,100,10.0,64,0.7170731707317073
1,4,linear,100,10.0,128,0.7219512195121951
1,4,linear,100,10.0,256,0.7219512195121951
1,4,linear,100,10.0,512,0.775609756097561
1,4,linear,100,1.0,16,0.7707317073170732
1,4,linear,100,1.0,32,0.8097560975609757
1,4,linear,100,1.0,64,0.7609756097560976
1,4,linear,100,1.0,128,0.7853658536585366
1,4,linear,100,1.0,256,0.8097560975609757
1,4,linear,100,1.0,512,0.7951219512195122
1,4,linear,100,0.1,16,0.7707317073170732
1,4,linear,100,0.1,32,0.7609756097560976
1,4,linear,100,0.1,64,0.8
1,4,linear,100,0.1,128,0.8
1,4,linear,100,0.1,256,0.7804878048780488
1,4,linear,100,0.1,512,0.8
1,4,linear,100,0.01,16,0.7902439024390244
1,4,linear,100,0.01,32,0.8
1,4,linear,100,0.01,64,0.7951219512195122
1,4,linear,100,0.01,128,0.7951219512195122
1,4,linear,100,0.01,256,0.8048780487804879
1,4,linear,100,0.01,512,0.7951219512195122
1,4,linear,100,0.001,16,0.7902439024390244
1,4,linear,100,0.001,32,0.7951219512195122
1,4,linear,100,0.001,64,0.7951219512195122
1,4,linear,100,0.001,128,0.7902439024390244
1,4,linear,100,0.001,256,0.8097560975609757
1,4,linear,100,0.001,512,0.8048780487804879
1,4,linear,100,0.0001,16,0.775609756097561
1,4,linear,100,0.0001,32,0.7902439024390244
1,4,linear,100,0.0001,64,0.7609756097560976
1,4,linear,100,0.0001,128,0.6
1,4,linear,100,0.0001,256,0.5560975609756098
1,4,linear,100,0.0001,512,0.7121951219512195
1,4,linear,250,10.0,16,0.8048780487804879
1,4,linear,250,10.0,32,0.4975609756097561
1,4,linear,250,10.0,64,0.7804878048780488
1,4,linear,250,10.0,128,0.8097560975609757
1,4,linear,250,10.0,256,0.7609756097560976
1,4,linear,250,10.0,512,0.7853658536585366
1,4,linear,250,1.0,16,0.7951219512195122
1,4,linear,250,1.0,32,0.7902439024390244
1,4,linear,250,1.0,64,0.7853658536585366
1,4,linear,250,1.0,128,0.7951219512195122
1,4,linear,250,1.0,256,0.7609756097560976
1,4,linear,250,1.0,512,0.7902439024390244
1,4,linear,250,0.1,16,0.8097560975609757
1,4,linear,250,0.1,32,0.8048780487804879
1,4,linear,250,0.1,64,0.775609756097561
1,4,linear,250,0.1,128,0.7707317073170732
1,4,linear,250,0.1,256,0.8195121951219512
1,4,linear,250,0.1,512,0.7951219512195122
1,4,linear,250,0.01,16,0.7951219512195122
1,4,linear,250,0.01,32,0.7951219512195122
1,4,linear,250,0.01,64,0.7951219512195122
1,4,linear,250,0.01,128,0.7951219512195122
1,4,linear,250,0.01,256,0.8048780487804879
1,4,linear,250,0.01,512,0.8048780487804879
1,4,linear,250,0.001,16,0.7951219512195122
1,4,linear,250,0.001,32,0.7951219512195122
1,4,linear,250,0.001,64,0.7951219512195122
1,4,linear,250,0.001,128,0.7951219512195122
1,4,linear,250,0.001,256,0.8
1,4,linear,250,0.001,512,0.8
1,4,linear,250,0.0001,16,0.8048780487804879
1,4,linear,250,0.0001,32,0.7902439024390244
1,4,linear,250,0.0001,64,0.7804878048780488
1,4,linear,250,0.0001,128,0.775609756097561
1,4,linear,250,0.0001,256,0.7853658536585366
1,4,linear,250,0.0001,512,0.7804878048780488
1,4,sigmoid,1,10.0,16,0.6585365853658537
1,4,sigmoid,1,10.0,32,0.6926829268292682
1,4,sigmoid,1,10.0,64,0.751219512195122
1,4,sigmoid,1,10.0,128,0.7463414634146341
1,4,sigmoid,1,10.0,256,0.4975609756097561
1,4,sigmoid,1,10.0,512,0.5024390243902439
1,4,sigmoid,1,1.0,16,0.7804878048780488
1,4,sigmoid,1,1.0,32,0.7804878048780488
1,4,sigmoid,1,1.0,64,0.7024390243902439
1,4,sigmoid,1,1.0,128,0.7658536585365854
1,4,sigmoid,1,1.0,256,0.6731707317073171
1,4,sigmoid,1,1.0,512,0.4975609756097561
1,4,sigmoid,1,0.1,16,0.7951219512195122
1,4,sigmoid,1,0.1,32,0.8
1,4,sigmoid,1,0.1,64,0.8097560975609757
1,4,sigmoid,1,0.1,128,0.775609756097561
1,4,sigmoid,1,0.1,256,0.7658536585365854
1,4,sigmoid,1,0.1,512,0.5804878048780487
1,4,sigmoid,1,0.01,16,0.7951219512195122
1,4,sigmoid,1,0.01,32,0.751219512195122
1,4,sigmoid,1,0.01,64,0.7414634146341463
1,4,sigmoid,1,0.01,128,0.7365853658536585
1,4,sigmoid,1,0.01,256,0.375609756097561
1,4,sigmoid,1,0.01,512,0.4585365853658537
1,4,sigmoid,1,0.001,16,0.5024390243902439
1,4,sigmoid,1,0.001,32,0.4975609756097561
1,4,sigmoid,1,0.001,64,0.4975609756097561
1,4,sigmoid,1,0.001,128,0.5024390243902439
1,4,sigmoid,1,0.001,256,0.5024390243902439
1,4,sigmoid,1,0.001,512,0.5024390243902439
1,4,sigmoid,1,0.0001,16,0.35609756097560974
1,4,sigmoid,1,0.0001,32,0.5121951219512195
1,4,sigmoid,1,0.0001,64,0.5024390243902439
1,4,sigmoid,1,0.0001,128,0.5024390243902439
1,4,sigmoid,1,0.0001,256,0.6780487804878049
1,4,sigmoid,1,0.0001,512,0.4975609756097561
1,4,sigmoid,10,10.0,16,0.7658536585365854
1,4,sigmoid,10,10.0,32,0.8146341463414634
1,4,sigmoid,10,10.0,64,0.7365853658536585
1,4,sigmoid,10,10.0,128,0.5219512195121951
1,4,sigmoid,10,10.0,256,0.7121951219512195
1,4,sigmoid,10,10.0,512,0.775609756097561
1,4,sigmoid,10,1.0,16,0.8195121951219512
1,4,sigmoid,10,1.0,32,0.8
1,4,sigmoid,10,1.0,64,0.8341463414634146
1,4,sigmoid,10,1.0,128,0.8585365853658536
1,4,sigmoid,10,1.0,256,0.8146341463414634
1,4,sigmoid,10,1.0,512,0.7951219512195122
1,4,sigmoid,10,0.1,16,0.8682926829268293
1,4,sigmoid,10,0.1,32,0.8390243902439024
1,4,sigmoid,10,0.1,64,0.8780487804878049
1,4,sigmoid,10,0.1,128,0.8097560975609757
1,4,sigmoid,10,0.1,256,0.8195121951219512
1,4,sigmoid,10,0.1,512,0.8097560975609757
1,4,sigmoid,10,0.01,16,0.7902439024390244
1,4,sigmoid,10,0.01,32,0.7853658536585366
1,4,sigmoid,10,0.01,64,0.7853658536585366
1,4,sigmoid,10,0.01,128,0.7902439024390244
1,4,sigmoid,10,0.01,256,0.775609756097561
1,4,sigmoid,10,0.01,512,0.7463414634146341
1,4,sigmoid,10,0.001,16,0.8
1,4,sigmoid,10,0.001,32,0.7902439024390244
1,4,sigmoid,10,0.001,64,0.7560975609756098
1,4,sigmoid,10,0.001,128,0.7463414634146341
1,4,sigmoid,10,0.001,256,0.5024390243902439
1,4,sigmoid,10,0.001,512,0.6292682926829268
1,4,sigmoid,10,0.0001,16,0.4975609756097561
1,4,sigmoid,10,0.0001,32,0.5170731707317073
1,4,sigmoid,10,0.0001,64,0.4975609756097561
1,4,sigmoid,10,0.0001,128,0.4975609756097561
1,4,sigmoid,10,0.0001,256,0.5024390243902439
1,4,sigmoid,10,0.0001,512,0.6487804878048781
1,4,sigmoid,25,10.0,16,0.6487804878048781
1,4,sigmoid,25,10.0,32,0.8048780487804879
1,4,sigmoid,25,10.0,64,0.697560975609756
1,4,sigmoid,25,10.0,128,0.7268292682926829
1,4,sigmoid,25,10.0,256,0.7170731707317073
1,4,sigmoid,25,10.0,512,0.5951219512195122
1,4,sigmoid,25,1.0,16,0.8
1,4,sigmoid,25,1.0,32,0.8146341463414634
1,4,sigmoid,25,1.0,64,0.8341463414634146
1,4,sigmoid,25,1.0,128,0.8195121951219512
1,4,sigmoid,25,1.0,256,0.8439024390243902
1,4,sigmoid,25,1.0,512,0.8048780487804879
1,4,sigmoid,25,0.1,16,0.8878048780487805
1,4,sigmoid,25,0.1,32,0.8731707317073171
1,4,sigmoid,25,0.1,64,0.8585365853658536
1,4,sigmoid,25,0.1,128,0.8634146341463415
1,4,sigmoid,25,0.1,256,0.8341463414634146
1,4,sigmoid,25,0.1,512,0.8390243902439024
1,4,sigmoid,25,0.01,16,0.8390243902439024
1,4,sigmoid,25,0.01,32,0.7951219512195122
1,4,sigmoid,25,0.01,64,0.8
1,4,sigmoid,25,0.01,128,0.7804878048780488
1,4,sigmoid,25,0.01,256,0.7853658536585366
1,4,sigmoid,25,0.01,512,0.8
1,4,sigmoid,25,0.001,16,0.8
1,4,sigmoid,25,0.001,32,0.7902439024390244
1,4,sigmoid,25,0.001,64,0.7658536585365854
1,4,sigmoid,25,0.001,128,0.7073170731707317
1,4,sigmoid,25,0.001,256,0.7268292682926829
1,4,sigmoid,25,0.001,512,0.5024390243902439
1,4,sigmoid,25,0.0001,16,0.7414634146341463
1,4,sigmoid,25,0.0001,32,0.4975609756097561
1,4,sigmoid,25,0.0001,64,0.4975609756097561
1,4,sigmoid,25,0.0001,128,0.4975609756097561
1,4,sigmoid,25,0.0001,256,0.624390243902439
1,4,sigmoid,25,0.0001,512,0.5073170731707317
1,4,sigmoid,50,10.0,16,0.5317073170731708
1,4,sigmoid,50,10.0,32,0.7853658536585366
1,4,sigmoid,50,10.0,64,0.7560975609756098
1,4,sigmoid,50,10.0,128,0.6048780487804878
1,4,sigmoid,50,10.0,256,0.8341463414634146
1,4,sigmoid,50,10.0,512,0.7317073170731707
1,4,sigmoid,50,1.0,16,0.8585365853658536
1,4,sigmoid,50,1.0,32,0.8292682926829268
1,4,sigmoid,50,1.0,64,0.8292682926829268
1,4,sigmoid,50,1.0,128,0.8390243902439024
1,4,sigmoid,50,1.0,256,0.8341463414634146
1,4,sigmoid,50,1.0,512,0.8829268292682927
1,4,sigmoid,50,0.1,16,0.9073170731707317
1,4,sigmoid,50,0.1,32,0.8926829268292683
1,4,sigmoid,50,0.1,64,0.8780487804878049
1,4,sigmoid,50,0.1,128,0.8634146341463415
1,4,sigmoid,50,0.1,256,0.848780487804878
1,4,sigmoid,50,0.1,512,0.8926829268292683
1,4,sigmoid,50,0.01,16,0.8682926829268293
1,4,sigmoid,50,0.01,32,0.848780487804878
1,4,sigmoid,50,0.01,64,0.8292682926829268
1,4,sigmoid,50,0.01,128,0.8048780487804879
1,4,sigmoid,50,0.01,256,0.7951219512195122
1,4,sigmoid,50,0.01,512,0.7902439024390244
1,4,sigmoid,50,0.001,16,0.8
1,4,sigmoid,50,0.001,32,0.8
1,4,sigmoid,50,0.001,64,0.8048780487804879
1,4,sigmoid,50,0.001,128,0.7707317073170732
1,4,sigmoid,50,0.001,256,0.7609756097560976
1,4,sigmoid,50,0.001,512,0.6731707317073171
1,4,sigmoid,50,0.0001,16,0.751219512195122
1,4,sigmoid,50,0.0001,32,0.7804878048780488
1,4,sigmoid,50,0.0001,64,0.6585365853658537
1,4,sigmoid,50,0.0001,128,0.551219512195122
1,4,sigmoid,50,0.0001,256,0.6439024390243903
1,4,sigmoid,50,0.0001,512,0.4975609756097561
1,4,sigmoid,100,10.0,16,0.7463414634146341
1,4,sigmoid,100,10.0,32,0.7707317073170732
1,4,sigmoid,100,10.0,64,0.7560975609756098
1,4,sigmoid,100,10.0,128,0.751219512195122
1,4,sigmoid,100,10.0,256,0.7463414634146341
1,4,sigmoid,100,10.0,512,0.7804878048780488
1,4,sigmoid,100,1.0,16,0.7707317073170732
1,4,sigmoid,100,1.0,32,0.8341463414634146
1,4,sigmoid,100,1.0,64,0.8292682926829268
1,4,sigmoid,100,1.0,128,0.8829268292682927
1,4,sigmoid,100,1.0,256,0.8634146341463415
1,4,sigmoid,100,1.0,512,0.848780487804878
1,4,sigmoid,100,0.1,16,0.9073170731707317
1,4,sigmoid,100,0.1,32,0.8926829268292683
1,4,sigmoid,100,0.1,64,0.9073170731707317
1,4,sigmoid,100,0.1,128,0.9219512195121952
1,4,sigmoid,100,0.1,256,0.8975609756097561
1,4,sigmoid,100,0.1,512,0.8780487804878049
1,4,sigmoid,100,0.01,16,0.8926829268292683
1,4,sigmoid,100,0.01,32,0.9170731707317074
1,4,sigmoid,100,0.01,64,0.8780487804878049
1,4,sigmoid,100,0.01,128,0.8341463414634146
1,4,sigmoid,100,0.01,256,0.824390243902439
1,4,sigmoid,100,0.01,512,0.8048780487804879
1,4,sigmoid,100,0.001,16,0.824390243902439
1,4,sigmoid,100,0.001,32,0.8
1,4,sigmoid,100,0.001,64,0.7853658536585366
1,4,sigmoid,100,0.001,128,0.8048780487804879
1,4,sigmoid,100,0.001,256,0.8
1,4,sigmoid,100,0.001,512,0.7658536585365854
1,4,sigmoid,100,0.0001,16,0.7951219512195122
1,4,sigmoid,100,0.0001,32,0.7560975609756098
1,4,sigmoid,100,0.0001,64,0.6585365853658537
1,4,sigmoid,100,0.0001,128,0.6146341463414634
1,4,sigmoid,100,0.0001,256,0.5121951219512195
1,4,sigmoid,100,0.0001,512,0.5024390243902439
1,4,sigmoid,250,10.0,16,0.6195121951219512
1,4,sigmoid,250,10.0,32,0.6780487804878049
1,4,sigmoid,250,10.0,64,0.7219512195121951
1,4,sigmoid,250,10.0,128,0.5024390243902439
1,4,sigmoid,250,10.0,256,0.775609756097561
1,4,sigmoid,250,10.0,512,0.8
1,4,sigmoid,250,1.0,16,0.8292682926829268
1,4,sigmoid,250,1.0,32,0.8097560975609757
1,4,sigmoid,250,1.0,64,0.8341463414634146
1,4,sigmoid,250,1.0,128,0.8878048780487805
1,4,sigmoid,250,1.0,256,0.8634146341463415
1,4,sigmoid,250,1.0,512,0.8292682926829268
1,4,sigmoid,250,0.1,16,0.9170731707317074
1,4,sigmoid,250,0.1,32,0.8878048780487805
1,4,sigmoid,250,0.1,64,0.8878048780487805
1,4,sigmoid,250,0.1,128,0.8780487804878049
1,4,sigmoid,250,0.1,256,0.9121951219512195
1,4,sigmoid,250,0.1,512,0.8829268292682927
1,4,sigmoid,250,0.01,16,0.9317073170731708
1,4,sigmoid,250,0.01,32,0.8926829268292683
1,4,sigmoid,250,0.01,64,0.8926829268292683
1,4,sigmoid,250,0.01,128,0.8780487804878049
1,4,sigmoid,250,0.01,256,0.8536585365853658
1,4,sigmoid,250,0.01,512,0.8146341463414634
1,4,sigmoid,250,0.001,16,0.824390243902439
1,4,sigmoid,250,0.001,32,0.8292682926829268
1,4,sigmoid,250,0.001,64,0.8292682926829268
1,4,sigmoid,250,0.001,128,0.7951219512195122
1,4,sigmoid,250,0.001,256,0.7951219512195122
1,4,sigmoid,250,0.001,512,0.7902439024390244
1,4,sigmoid,250,0.0001,16,0.8
1,4,sigmoid,250,0.0001,32,0.7804878048780488
1,4,sigmoid,250,0.0001,64,0.7951219512195122
1,4,sigmoid,250,0.0001,128,0.751219512195122
1,4,sigmoid,250,0.0001,256,0.5365853658536586
1,4,sigmoid,250,0.0001,512,0.5024390243902439
1,4,relu,1,10.0,16,0.4975609756097561
1,4,relu,1,10.0,32,0.8
