hidden_layers,activation_fn,epochs,learning_rate,batch_size,accuracy
[16],Tanh,50,1.0,64,0.725
[16],Tanh,50,1.0,128,0.725
[16],Tanh,50,1.0,256,0.65
[16],Tanh,50,1.0,512,0.65
[16],Tanh,50,0.1,16,0.8
[16],Tanh,50,0.1,32,0.85
[16],Tanh,50,0.1,64,0.75
[16],Tanh,50,0.1,128,0.8
[16],Tanh,50,0.1,256,0.675
[16],Tanh,50,0.1,512,0.675
[16],Tanh,50,0.01,16,0.825
[16],Tanh,50,0.01,32,0.85
[16],Tanh,50,0.01,64,0.8
[16],Tanh,50,0.01,128,0.8
[16],Tanh,50,0.01,256,0.775
[16],Tanh,50,0.01,512,0.825
[16],Tanh,50,0.001,16,0.65
[16],Tanh,50,0.001,32,0.75
[16],Tanh,50,0.001,64,0.75
[16],Tanh,50,0.001,128,0.5
[16],Tanh,50,0.001,256,0.5
[16],Tanh,50,0.001,512,0.6
[16],Tanh,50,0.0001,16,0.55
[16],Tanh,50,0.0001,32,0.6
[16],Tanh,50,0.0001,64,0.475
[16],Tanh,50,0.0001,128,0.55
[16],Tanh,50,0.0001,256,0.65
[16],Tanh,50,0.0001,512,0.425
[16],Tanh,100,10.0,16,0.425
[16],Tanh,100,10.0,32,0.425
[16],Tanh,100,10.0,64,0.45
[16],Tanh,100,10.0,128,0.475
[16],Tanh,100,10.0,256,0.4
[16],Tanh,100,10.0,512,0.35
[16],Tanh,100,1.0,16,0.6
[16],Tanh,100,1.0,32,0.6
[16],Tanh,100,1.0,64,0.775
[16],Tanh,100,1.0,128,0.65
[16],Tanh,100,1.0,256,0.625
[16],Tanh,100,1.0,512,0.6
[16],Tanh,100,0.1,16,0.8
[16],Tanh,100,0.1,32,0.8
[16],Tanh,100,0.1,64,0.8
[16],Tanh,100,0.1,128,0.825
[16],Tanh,100,0.1,256,0.775
[16],Tanh,100,0.1,512,0.7
[16],Tanh,100,0.01,16,0.85
[16],Tanh,100,0.01,32,0.9
[16],Tanh,100,0.01,64,0.8
[16],Tanh,100,0.01,128,0.8
[16],Tanh,100,0.01,256,0.775
[16],Tanh,100,0.01,512,0.825
[16],Tanh,100,0.001,16,0.8
[16],Tanh,100,0.001,32,0.8
[16],Tanh,100,0.001,64,0.675
[16],Tanh,100,0.001,128,0.725
[16],Tanh,100,0.001,256,0.675
[16],Tanh,100,0.001,512,0.575
[16],Tanh,100,0.0001,16,0.575
[16],Tanh,100,0.0001,32,0.75
[16],Tanh,100,0.0001,64,0.475
[16],Tanh,100,0.0001,128,0.525
[16],Tanh,100,0.0001,256,0.625
[16],Tanh,100,0.0001,512,0.575
[16],Tanh,250,10.0,16,0.55
[16],Tanh,250,10.0,32,0.425
[16],Tanh,250,10.0,64,0.55
[16],Tanh,250,10.0,128,0.45
[16],Tanh,250,10.0,256,0.65
[16],Tanh,250,10.0,512,0.35
[16],Tanh,250,1.0,16,0.625
[16],Tanh,250,1.0,32,0.725
[16],Tanh,250,1.0,64,0.65
[16],Tanh,250,1.0,128,0.625
[16],Tanh,250,1.0,256,0.65
[16],Tanh,250,1.0,512,0.6
[16],Tanh,250,0.1,16,0.7
[16],Tanh,250,0.1,32,0.775
[16],Tanh,250,0.1,64,0.75
[16],Tanh,250,0.1,128,0.775
[16],Tanh,250,0.1,256,0.725
[16],Tanh,250,0.1,512,0.75
[16],Tanh,250,0.01,16,0.75
[16],Tanh,250,0.01,32,0.85
[16],Tanh,250,0.01,64,0.825
[16],Tanh,250,0.01,128,0.875
[16],Tanh,250,0.01,256,0.775
[16],Tanh,250,0.01,512,0.825
[16],Tanh,250,0.001,16,0.8
[16],Tanh,250,0.001,32,0.8
[16],Tanh,250,0.001,64,0.825
[16],Tanh,250,0.001,128,0.775
[16],Tanh,250,0.001,256,0.75
[16],Tanh,250,0.001,512,0.675
[16],Tanh,250,0.0001,16,0.625
[16],Tanh,250,0.0001,32,0.6
[16],Tanh,250,0.0001,64,0.625
[16],Tanh,250,0.0001,128,0.5
[16],Tanh,250,0.0001,256,0.425
[16],Tanh,250,0.0001,512,0.7
[16],Identity,1,10.0,16,0.525
[16],Identity,1,10.0,32,0.35
[16],Identity,1,10.0,64,0.35
[16],Identity,1,10.0,128,0.45
[16],Identity,1,10.0,256,0.3
[16],Identity,1,10.0,512,0.7
[16],Identity,1,1.0,16,0.475
[16],Identity,1,1.0,32,0.7
[16],Identity,1,1.0,64,0.625
[16],Identity,1,1.0,128,0.475
[16],Identity,1,1.0,256,0.5
[16],Identity,1,1.0,512,0.45
[16],Identity,1,0.1,16,0.6
[16],Identity,1,0.1,32,0.625
[16],Identity,1,0.1,64,0.675
[16],Identity,1,0.1,128,0.575
[16],Identity,1,0.1,256,0.475
[16],Identity,1,0.1,512,0.575
[16],Identity,1,0.01,16,0.65
[16],Identity,1,0.01,32,0.5
[16],Identity,1,0.01,64,0.475
[16],Identity,1,0.01,128,0.5
[16],Identity,1,0.01,256,0.4
[16],Identity,1,0.01,512,0.45
[16],Identity,1,0.001,16,0.65
[16],Identity,1,0.001,32,0.45
[16],Identity,1,0.001,64,0.5
[16],Identity,1,0.001,128,0.275
[16],Identity,1,0.001,256,0.45
[16],Identity,1,0.001,512,0.725
[16],Identity,1,0.0001,16,0.525
[16],Identity,1,0.0001,32,0.575
[16],Identity,1,0.0001,64,0.325
[16],Identity,1,0.0001,128,0.375
[16],Identity,1,0.0001,256,0.4
[16],Identity,1,0.0001,512,0.45
[16],Identity,10,10.0,16,0.475
[16],Identity,10,10.0,32,0.625
[16],Identity,10,10.0,64,0.425
[16],Identity,10,10.0,128,0.6
[16],Identity,10,10.0,256,0.525
[16],Identity,10,10.0,512,0.55
[16],Identity,10,1.0,16,0.625
[16],Identity,10,1.0,32,0.425
[16],Identity,10,1.0,64,0.55
[16],Identity,10,1.0,128,0.525
[16],Identity,10,1.0,256,0.475
[16],Identity,10,1.0,512,0.625
[16],Identity,10,0.1,16,0.675
[16],Identity,10,0.1,32,0.7
[16],Identity,10,0.1,64,0.75
[16],Identity,10,0.1,128,0.725
[16],Identity,10,0.1,256,0.6
[16],Identity,10,0.1,512,0.725
[16],Identity,10,0.01,16,0.775
[16],Identity,10,0.01,32,0.75
[16],Identity,10,0.01,64,0.775
[16],Identity,10,0.01,128,0.6
[16],Identity,10,0.01,256,0.75
[16],Identity,10,0.01,512,0.625
[16],Identity,10,0.001,16,0.675
[16],Identity,10,0.001,32,0.625
[16],Identity,10,0.001,64,0.6
[16],Identity,10,0.001,128,0.45
[16],Identity,10,0.001,256,0.7
[16],Identity,10,0.001,512,0.5
[16],Identity,10,0.0001,16,0.575
[16],Identity,10,0.0001,32,0.6
[16],Identity,10,0.0001,64,0.525
[16],Identity,10,0.0001,128,0.6
[16],Identity,10,0.0001,256,0.5
[16],Identity,10,0.0001,512,0.375
[16],Identity,25,10.0,16,0.35
[16],Identity,25,10.0,32,0.45
[16],Identity,25,10.0,64,0.6
[16],Identity,25,10.0,128,0.55
[16],Identity,25,10.0,256,0.475
[16],Identity,25,10.0,512,0.5
[16],Identity,25,1.0,16,0.45
[16],Identity,25,1.0,32,0.5
[16],Identity,25,1.0,64,0.6
[16],Identity,25,1.0,128,0.6
[16],Identity,25,1.0,256,0.5
[16],Identity,25,1.0,512,0.6
[16],Identity,25,0.1,16,0.625
[16],Identity,25,0.1,32,0.725
[16],Identity,25,0.1,64,0.75
[16],Identity,25,0.1,128,0.65
[16],Identity,25,0.1,256,0.725
[16],Identity,25,0.1,512,0.7
[16],Identity,25,0.01,16,0.725
[16],Identity,25,0.01,32,0.7
[16],Identity,25,0.01,64,0.7
[16],Identity,25,0.01,128,0.75
[16],Identity,25,0.01,256,0.75
[16],Identity,25,0.01,512,0.8
[16],Identity,25,0.001,16,0.725
[16],Identity,25,0.001,32,0.65
[16],Identity,25,0.001,64,0.65
[16],Identity,25,0.001,128,0.475
[16],Identity,25,0.001,256,0.7
[16],Identity,25,0.001,512,0.575
[16],Identity,25,0.0001,16,0.4
[16],Identity,25,0.0001,32,0.35
[16],Identity,25,0.0001,64,0.35
[16],Identity,25,0.0001,128,0.675
[16],Identity,25,0.0001,256,0.7
[16],Identity,25,0.0001,512,0.425
[16],Identity,50,10.0,16,0.425
[16],Identity,50,10.0,32,0.3
[16],Identity,50,10.0,64,0.475
[16],Identity,50,10.0,128,0.475
[16],Identity,50,10.0,256,0.45
[16],Identity,50,10.0,512,0.425
[16],Identity,50,1.0,16,0.5
[16],Identity,50,1.0,32,0.55
[16],Identity,50,1.0,64,0.475
[16],Identity,50,1.0,128,0.625
[16],Identity,50,1.0,256,0.45
[16],Identity,50,1.0,512,0.575
[16],Identity,50,0.1,16,0.7
[16],Identity,50,0.1,32,0.675
[16],Identity,50,0.1,64,0.75
[16],Identity,50,0.1,128,0.675
[16],Identity,50,0.1,256,0.7
[16],Identity,50,0.1,512,0.675
[16],Identity,50,0.01,16,0.7
[16],Identity,50,0.01,32,0.725
[16],Identity,50,0.01,64,0.675
[16],Identity,50,0.01,128,0.725
[16],Identity,50,0.01,256,0.7
[16],Identity,50,0.01,512,0.725
[16],Identity,50,0.001,16,0.725
[16],Identity,50,0.001,32,0.675
[16],Identity,50,0.001,64,0.775
[16],Identity,50,0.001,128,0.675
[16],Identity,50,0.001,256,0.7
[16],Identity,50,0.001,512,0.725
[16],Identity,50,0.0001,16,0.6
[16],Identity,50,0.0001,32,0.65
[16],Identity,50,0.0001,64,0.525
[16],Identity,50,0.0001,128,0.525
[16],Identity,50,0.0001,256,0.375
[16],Identity,50,0.0001,512,0.375
[16],Identity,100,10.0,16,0.375
[16],Identity,100,10.0,32,0.5
[16],Identity,100,10.0,64,0.575
[16],Identity,100,10.0,128,0.7
[16],Identity,100,10.0,256,0.55
[16],Identity,100,10.0,512,0.3
[16],Identity,100,1.0,16,0.525
[16],Identity,100,1.0,32,0.5
[16],Identity,100,1.0,64,0.525
[16],Identity,100,1.0,128,0.425
[16],Identity,100,1.0,256,0.45
[16],Identity,100,1.0,512,0.575
[16],Identity,100,0.1,16,0.7
[16],Identity,100,0.1,32,0.75
[16],Identity,100,0.1,64,0.675
[16],Identity,100,0.1,128,0.75
[16],Identity,100,0.1,256,0.7
[16],Identity,100,0.1,512,0.7
[16],Identity,100,0.01,16,0.75
[16],Identity,100,0.01,32,0.7
[16],Identity,100,0.01,64,0.725
[16],Identity,100,0.01,128,0.7
[16],Identity,100,0.01,256,0.7
[16],Identity,100,0.01,512,0.7
[16],Identity,100,0.001,16,0.725
[16],Identity,100,0.001,32,0.725
[16],Identity,100,0.001,64,0.775
[16],Identity,100,0.001,128,0.65
[16],Identity,100,0.001,256,0.7
[16],Identity,100,0.001,512,0.6
[16],Identity,100,0.0001,16,0.7
[16],Identity,100,0.0001,32,0.525
[16],Identity,100,0.0001,64,0.475
[16],Identity,100,0.0001,128,0.725
[16],Identity,100,0.0001,256,0.425
[16],Identity,100,0.0001,512,0.5
[16],Identity,250,10.0,16,0.25
[16],Identity,250,10.0,32,0.425
[16],Identity,250,10.0,64,0.5
[16],Identity,250,10.0,128,0.45
[16],Identity,250,10.0,256,0.4
[16],Identity,250,10.0,512,0.475
[16],Identity,250,1.0,16,0.475
[16],Identity,250,1.0,32,0.65
[16],Identity,250,1.0,64,0.5
[16],Identity,250,1.0,128,0.425
[16],Identity,250,1.0,256,0.6
[16],Identity,250,1.0,512,0.575
[16],Identity,250,0.1,16,0.75
[16],Identity,250,0.1,32,0.7
[16],Identity,250,0.1,64,0.7
[16],Identity,250,0.1,128,0.675
[16],Identity,250,0.1,256,0.7
[16],Identity,250,0.1,512,0.7
[16],Identity,250,0.01,16,0.7
[16],Identity,250,0.01,32,0.7
[16],Identity,250,0.01,64,0.725
[16],Identity,250,0.01,128,0.75
[16],Identity,250,0.01,256,0.7
[16],Identity,250,0.01,512,0.7
[16],Identity,250,0.001,16,0.7
[16],Identity,250,0.001,32,0.7
[16],Identity,250,0.001,64,0.7
[16],Identity,250,0.001,128,0.725
[16],Identity,250,0.001,256,0.75
[16],Identity,250,0.001,512,0.725
[16],Identity,250,0.0001,16,0.7
[16],Identity,250,0.0001,32,0.75
[16],Identity,250,0.0001,64,0.675
[16],Identity,250,0.0001,128,0.55
[16],Identity,250,0.0001,256,0.7
[16],Identity,250,0.0001,512,0.75
[32],ReLU,1,10.0,16,0.525
[32],ReLU,1,10.0,32,0.525
[32],ReLU,1,10.0,64,0.7
[32],ReLU,1,10.0,128,0.3
[32],ReLU,1,10.0,256,0.65
[32],ReLU,1,10.0,512,0.725
[32],ReLU,1,1.0,16,0.3
[32],ReLU,1,1.0,32,0.4
[32],ReLU,1,1.0,64,0.3
[32],ReLU,1,1.0,128,0.3
[32],ReLU,1,1.0,256,0.725
[32],ReLU,1,1.0,512,0.3
[32],ReLU,1,0.1,16,0.8
[32],ReLU,1,0.1,32,0.775
[32],ReLU,1,0.1,64,0.6
[32],ReLU,1,0.1,128,0.725
[32],ReLU,1,0.1,256,0.625
[32],ReLU,1,0.1,512,0.525
[32],ReLU,1,0.01,16,0.575
[32],ReLU,1,0.01,32,0.65
[32],ReLU,1,0.01,64,0.575
[32],ReLU,1,0.01,128,0.55
[32],ReLU,1,0.01,256,0.575
[32],ReLU,1,0.01,512,0.325
[32],ReLU,1,0.001,16,0.425
[32],ReLU,1,0.001,32,0.75
[32],ReLU,1,0.001,64,0.525
[32],ReLU,1,0.001,128,0.525
[32],ReLU,1,0.001,256,0.275
[32],ReLU,1,0.001,512,0.375
[32],ReLU,1,0.0001,16,0.675
[32],ReLU,1,0.0001,32,0.625
[32],ReLU,1,0.0001,64,0.375
[32],ReLU,1,0.0001,128,0.35
[32],ReLU,1,0.0001,256,0.325
[32],ReLU,1,0.0001,512,0.55
[32],ReLU,10,10.0,16,0.7
[32],ReLU,10,10.0,32,0.575
[32],ReLU,10,10.0,64,0.325
[32],ReLU,10,10.0,128,0.425
[32],ReLU,10,10.0,256,0.3
[32],ReLU,10,10.0,512,0.475
[32],ReLU,10,1.0,16,0.3
[32],ReLU,10,1.0,32,0.3
[32],ReLU,10,1.0,64,0.45
[32],ReLU,10,1.0,128,0.8
[32],ReLU,10,1.0,256,0.625
[32],ReLU,10,1.0,512,0.3
[32],ReLU,10,0.1,16,0.85
[32],ReLU,10,0.1,32,0.85
[32],ReLU,10,0.1,64,0.85
[32],ReLU,10,0.1,128,0.875
[32],ReLU,10,0.1,256,0.875
[32],ReLU,10,0.1,512,0.85
[32],ReLU,10,0.01,16,0.775
[32],ReLU,10,0.01,32,0.8
[32],ReLU,10,0.01,64,0.85
[32],ReLU,10,0.01,128,0.65
[32],ReLU,10,0.01,256,0.625
[32],ReLU,10,0.01,512,0.65
[32],ReLU,10,0.001,16,0.725
[32],ReLU,10,0.001,32,0.75
[32],ReLU,10,0.001,64,0.425
[32],ReLU,10,0.001,128,0.675
[32],ReLU,10,0.001,256,0.425
[32],ReLU,10,0.001,512,0.575
[32],ReLU,10,0.0001,16,0.6
[32],ReLU,10,0.0001,32,0.375
[32],ReLU,10,0.0001,64,0.5
[32],ReLU,10,0.0001,128,0.5
[32],ReLU,10,0.0001,256,0.525
[32],ReLU,10,0.0001,512,0.7
[32],ReLU,25,10.0,16,0.7
[32],ReLU,25,10.0,32,0.7
[32],ReLU,25,10.0,64,0.375
[32],ReLU,25,10.0,128,0.45
[32],ReLU,25,10.0,256,0.3
[32],ReLU,25,10.0,512,0.375
[32],ReLU,25,1.0,16,0.475
[32],ReLU,25,1.0,32,0.525
[32],ReLU,25,1.0,64,0.775
[32],ReLU,25,1.0,128,0.475
[32],ReLU,25,1.0,256,0.7
[32],ReLU,25,1.0,512,0.425
[32],ReLU,25,0.1,16,0.75
[32],ReLU,25,0.1,32,0.775
[32],ReLU,25,0.1,64,0.8
[32],ReLU,25,0.1,128,0.8
[32],ReLU,25,0.1,256,0.8
[32],ReLU,25,0.1,512,0.875
[32],ReLU,25,0.01,16,0.775
[32],ReLU,25,0.01,32,0.85
[32],ReLU,25,0.01,64,0.825
[32],ReLU,25,0.01,128,0.85
[32],ReLU,25,0.01,256,0.8
[32],ReLU,25,0.01,512,0.8
[32],ReLU,25,0.001,16,0.725
[32],ReLU,25,0.001,32,0.675
[32],ReLU,25,0.001,64,0.7
[32],ReLU,25,0.001,128,0.55
[32],ReLU,25,0.001,256,0.725
[32],ReLU,25,0.001,512,0.575
[32],ReLU,25,0.0001,16,0.475
[32],ReLU,25,0.0001,32,0.8
[32],ReLU,25,0.0001,64,0.575
[32],ReLU,25,0.0001,128,0.65
[32],ReLU,25,0.0001,256,0.725
[32],ReLU,25,0.0001,512,0.325
[32],ReLU,50,10.0,16,0.425
[32],ReLU,50,10.0,32,0.3
[32],ReLU,50,10.0,64,0.55
[32],ReLU,50,10.0,128,0.35
[32],ReLU,50,10.0,256,0.35
[32],ReLU,50,10.0,512,0.3
[32],ReLU,50,1.0,16,0.675
[32],ReLU,50,1.0,32,0.6
[32],ReLU,50,1.0,64,0.3
[32],ReLU,50,1.0,128,0.6
[32],ReLU,50,1.0,256,0.525
[32],ReLU,50,1.0,512,0.7
[32],ReLU,50,0.1,16,0.8
[32],ReLU,50,0.1,32,0.825
[32],ReLU,50,0.1,64,0.775
[32],ReLU,50,0.1,128,0.85
[32],ReLU,50,0.1,256,0.875
[32],ReLU,50,0.1,512,0.8
[32],ReLU,50,0.01,16,0.8
[32],ReLU,50,0.01,32,0.8
[32],ReLU,50,0.01,64,0.825
[32],ReLU,50,0.01,128,0.825
[32],ReLU,50,0.01,256,0.8
[32],ReLU,50,0.01,512,0.825
[32],ReLU,50,0.001,16,0.775
[32],ReLU,50,0.001,32,0.775
[32],ReLU,50,0.001,64,0.725
[32],ReLU,50,0.001,128,0.575
[32],ReLU,50,0.001,256,0.7
[32],ReLU,50,0.001,512,0.625
[32],ReLU,50,0.0001,16,0.675
[32],ReLU,50,0.0001,32,0.55
[32],ReLU,50,0.0001,64,0.75
[32],ReLU,50,0.0001,128,0.575
[32],ReLU,50,0.0001,256,0.575
[32],ReLU,50,0.0001,512,0.625
[32],ReLU,100,10.0,16,0.6
[32],ReLU,100,10.0,32,0.525
[32],ReLU,100,10.0,64,0.3
[32],ReLU,100,10.0,128,0.6
[32],ReLU,100,10.0,256,0.7
[32],ReLU,100,10.0,512,0.7
[32],ReLU,100,1.0,16,0.3
[32],ReLU,100,1.0,32,0.425
[32],ReLU,100,1.0,64,0.3
[32],ReLU,100,1.0,128,0.475
[32],ReLU,100,1.0,256,0.6
[32],ReLU,100,1.0,512,0.625
[32],ReLU,100,0.1,16,0.8
[32],ReLU,100,0.1,32,0.8
[32],ReLU,100,0.1,64,0.85
[32],ReLU,100,0.1,128,0.825
[32],ReLU,100,0.1,256,0.8
[32],ReLU,100,0.1,512,0.8
[32],ReLU,100,0.01,16,0.775
[32],ReLU,100,0.01,32,0.775
[32],ReLU,100,0.01,64,0.825
[32],ReLU,100,0.01,128,0.775
[32],ReLU,100,0.01,256,0.8
[32],ReLU,100,0.01,512,0.85
[32],ReLU,100,0.001,16,0.825
[32],ReLU,100,0.001,32,0.75
[32],ReLU,100,0.001,64,0.775
[32],ReLU,100,0.001,128,0.825
[32],ReLU,100,0.001,256,0.725
[32],ReLU,100,0.001,512,0.7
[32],ReLU,100,0.0001,16,0.725
[32],ReLU,100,0.0001,32,0.65
[32],ReLU,100,0.0001,64,0.575
[32],ReLU,100,0.0001,128,0.675
[32],ReLU,100,0.0001,256,0.65
[32],ReLU,100,0.0001,512,0.675
[32],ReLU,250,10.0,16,0.5
[32],ReLU,250,10.0,32,0.575
[32],ReLU,250,10.0,64,0.675
[32],ReLU,250,10.0,128,0.425
[32],ReLU,250,10.0,256,0.55
[32],ReLU,250,10.0,512,0.625
[32],ReLU,250,1.0,16,0.45
[32],ReLU,250,1.0,32,0.4
[32],ReLU,250,1.0,64,0.55
[32],ReLU,250,1.0,128,0.45
[32],ReLU,250,1.0,256,0.6
[32],ReLU,250,1.0,512,0.75
[32],ReLU,250,0.1,16,0.8
[32],ReLU,250,0.1,32,0.825
[32],ReLU,250,0.1,64,0.875
[32],ReLU,250,0.1,128,0.825
[32],ReLU,250,0.1,256,0.85
[32],ReLU,250,0.1,512,0.8
[32],ReLU,250,0.01,16,0.85
[32],ReLU,250,0.01,32,0.875
[32],ReLU,250,0.01,64,0.825
[32],ReLU,250,0.01,128,0.775
[32],ReLU,250,0.01,256,0.775
[32],ReLU,250,0.01,512,0.825
[32],ReLU,250,0.001,16,0.825
[32],ReLU,250,0.001,32,0.85
[32],ReLU,250,0.001,64,0.8
[32],ReLU,250,0.001,128,0.775
[32],ReLU,250,0.001,256,0.8
[32],ReLU,250,0.001,512,0.825
[32],ReLU,250,0.0001,16,0.75
[32],ReLU,250,0.0001,32,0.625
[32],ReLU,250,0.0001,64,0.6
[32],ReLU,250,0.0001,128,0.725
[32],ReLU,250,0.0001,256,0.7
[32],ReLU,250,0.0001,512,0.575
[32],Sigmoid,1,10.0,16,0.3
[32],Sigmoid,1,10.0,32,0.3
[32],Sigmoid,1,10.0,64,0.7
[32],Sigmoid,1,10.0,128,0.3
[32],Sigmoid,1,10.0,256,0.3
[32],Sigmoid,1,10.0,512,0.7
[32],Sigmoid,1,1.0,16,0.375
[32],Sigmoid,1,1.0,32,0.475
[32],Sigmoid,1,1.0,64,0.7
[32],Sigmoid,1,1.0,128,0.3
[32],Sigmoid,1,1.0,256,0.7
[32],Sigmoid,1,1.0,512,0.7
[32],Sigmoid,1,0.1,16,0.7
[32],Sigmoid,1,0.1,32,0.575
[32],Sigmoid,1,0.1,64,0.35
[32],Sigmoid,1,0.1,128,0.675
[32],Sigmoid,1,0.1,256,0.7
[32],Sigmoid,1,0.1,512,0.3
[32],Sigmoid,1,0.01,16,0.575
[32],Sigmoid,1,0.01,32,0.3
[32],Sigmoid,1,0.01,64,0.475
[32],Sigmoid,1,0.01,128,0.475
[32],Sigmoid,1,0.01,256,0.7
[32],Sigmoid,1,0.01,512,0.35
[32],Sigmoid,1,0.001,16,0.3
[32],Sigmoid,1,0.001,32,0.325
[32],Sigmoid,1,0.001,64,0.3
[32],Sigmoid,1,0.001,128,0.3
[32],Sigmoid,1,0.001,256,0.3
[32],Sigmoid,1,0.001,512,0.35
[32],Sigmoid,1,0.0001,16,0.7
[32],Sigmoid,1,0.0001,32,0.3
[32],Sigmoid,1,0.0001,64,0.7
[32],Sigmoid,1,0.0001,128,0.675
[32],Sigmoid,1,0.0001,256,0.45
[32],Sigmoid,1,0.0001,512,0.7
[32],Sigmoid,10,10.0,16,0.7
[32],Sigmoid,10,10.0,32,0.3
[32],Sigmoid,10,10.0,64,0.7
[32],Sigmoid,10,10.0,128,0.3
[32],Sigmoid,10,10.0,256,0.3
[32],Sigmoid,10,10.0,512,0.3
[32],Sigmoid,10,1.0,16,0.55
[32],Sigmoid,10,1.0,32,0.8
[32],Sigmoid,10,1.0,64,0.725
[32],Sigmoid,10,1.0,128,0.725
[32],Sigmoid,10,1.0,256,0.55
[32],Sigmoid,10,1.0,512,0.725
[32],Sigmoid,10,0.1,16,0.7
[32],Sigmoid,10,0.1,32,0.7
[32],Sigmoid,10,0.1,64,0.7
[32],Sigmoid,10,0.1,128,0.775
[32],Sigmoid,10,0.1,256,0.6
[32],Sigmoid,10,0.1,512,0.8
[32],Sigmoid,10,0.01,16,0.75
[32],Sigmoid,10,0.01,32,0.65
[32],Sigmoid,10,0.01,64,0.675
[32],Sigmoid,10,0.01,128,0.475
[32],Sigmoid,10,0.01,256,0.475
[32],Sigmoid,10,0.01,512,0.45
[32],Sigmoid,10,0.001,16,0.325
[32],Sigmoid,10,0.001,32,0.3
[32],Sigmoid,10,0.001,64,0.325
[32],Sigmoid,10,0.001,128,0.275
[32],Sigmoid,10,0.001,256,0.35
[32],Sigmoid,10,0.001,512,0.3
[32],Sigmoid,10,0.0001,16,0.3
[32],Sigmoid,10,0.0001,32,0.6
[32],Sigmoid,10,0.0001,64,0.375
[32],Sigmoid,10,0.0001,128,0.3
[32],Sigmoid,10,0.0001,256,0.425
[32],Sigmoid,10,0.0001,512,0.7
[32],Sigmoid,25,10.0,16,0.3
[32],Sigmoid,25,10.0,32,0.7
[32],Sigmoid,25,10.0,64,0.7
[32],Sigmoid,25,10.0,128,0.3
[32],Sigmoid,25,10.0,256,0.7
[32],Sigmoid,25,10.0,512,0.3
[32],Sigmoid,25,1.0,16,0.65
[32],Sigmoid,25,1.0,32,0.575
[32],Sigmoid,25,1.0,64,0.725
[32],Sigmoid,25,1.0,128,0.75
[32],Sigmoid,25,1.0,256,0.675
[32],Sigmoid,25,1.0,512,0.7
[32],Sigmoid,25,0.1,16,0.775
[32],Sigmoid,25,0.1,32,0.8
[32],Sigmoid,25,0.1,64,0.85
[32],Sigmoid,25,0.1,128,0.75
[32],Sigmoid,25,0.1,256,0.725
[32],Sigmoid,25,0.1,512,0.65
[32],Sigmoid,25,0.01,16,0.725
[32],Sigmoid,25,0.01,32,0.75
[32],Sigmoid,25,0.01,64,0.7
[32],Sigmoid,25,0.01,128,0.725
[32],Sigmoid,25,0.01,256,0.725
[32],Sigmoid,25,0.01,512,0.675
[32],Sigmoid,25,0.001,16,0.675
[32],Sigmoid,25,0.001,32,0.45
[32],Sigmoid,25,0.001,64,0.35
[32],Sigmoid,25,0.001,128,0.45
[32],Sigmoid,25,0.001,256,0.3
[32],Sigmoid,25,0.001,512,0.3
[32],Sigmoid,25,0.0001,16,0.3
[32],Sigmoid,25,0.0001,32,0.4
[32],Sigmoid,25,0.0001,64,0.65
[32],Sigmoid,25,0.0001,128,0.3
[32],Sigmoid,25,0.0001,256,0.7
[32],Sigmoid,25,0.0001,512,0.7
[32],Sigmoid,50,10.0,16,0.3
[32],Sigmoid,50,10.0,32,0.3
[32],Sigmoid,50,10.0,64,0.3
[32],Sigmoid,50,10.0,128,0.3
[32],Sigmoid,50,10.0,256,0.7
[32],Sigmoid,50,10.0,512,0.225
[32],Sigmoid,50,1.0,16,0.75
[32],Sigmoid,50,1.0,32,0.75
[32],Sigmoid,50,1.0,64,0.725
[32],Sigmoid,50,1.0,128,0.775
[32],Sigmoid,50,1.0,256,0.775
[32],Sigmoid,50,1.0,512,0.725
[32],Sigmoid,50,0.1,16,0.825
[32],Sigmoid,50,0.1,32,0.825
[32],Sigmoid,50,0.1,64,0.85
[32],Sigmoid,50,0.1,128,0.825
[32],Sigmoid,50,0.1,256,0.85
[32],Sigmoid,50,0.1,512,0.8
[32],Sigmoid,50,0.01,16,0.825
[32],Sigmoid,50,0.01,32,0.775
[32],Sigmoid,50,0.01,64,0.75
[32],Sigmoid,50,0.01,128,0.75
[32],Sigmoid,50,0.01,256,0.75
[32],Sigmoid,50,0.01,512,0.75
[32],Sigmoid,50,0.001,16,0.7
[32],Sigmoid,50,0.001,32,0.65
[32],Sigmoid,50,0.001,64,0.475
[32],Sigmoid,50,0.001,128,0.6
[32],Sigmoid,50,0.001,256,0.4
[32],Sigmoid,50,0.001,512,0.325
[32],Sigmoid,50,0.0001,16,0.75
[32],Sigmoid,50,0.0001,32,0.3
[32],Sigmoid,50,0.0001,64,0.45
[32],Sigmoid,50,0.0001,128,0.3
[32],Sigmoid,50,0.0001,256,0.45
[32],Sigmoid,50,0.0001,512,0.3
[32],Sigmoid,100,10.0,16,0.7
[32],Sigmoid,100,10.0,32,0.3
[32],Sigmoid,100,10.0,64,0.7
[32],Sigmoid,100,10.0,128,0.3
[32],Sigmoid,100,10.0,256,0.3
[32],Sigmoid,100,10.0,512,0.3
[32],Sigmoid,100,1.0,16,0.675
[32],Sigmoid,100,1.0,32,0.775
[32],Sigmoid,100,1.0,64,0.75
[32],Sigmoid,100,1.0,128,0.725
[32],Sigmoid,100,1.0,256,0.6
