Hidden Layers,Activation Function,Epochs,Learning Rate,Batch Size,MSE
[4],Identity,250,0.01,256,0.016258547
[4],Identity,250,0.01,512,0.015925562
[4],Identity,250,0.001,16,0.015799748
[4],Identity,250,0.001,32,0.016046511
[4],Identity,250,0.001,64,0.015770793
[4],Identity,250,0.001,128,0.016861072
[4],Identity,250,0.001,256,0.018966084
[4],Identity,250,0.001,512,0.021539552
[4],Identity,250,0.0001,16,0.015851535
[4],Identity,250,0.0001,32,0.019139381
[4],Identity,250,0.0001,64,0.023222052
[4],Identity,250,0.0001,128,0.057700403
[4],Identity,250,0.0001,256,0.1821265
[4],Identity,250,0.0001,512,0.13883093
[4],Sigmoid,1,0.1,16,0.017744184
[4],Sigmoid,1,0.1,32,0.020710412
[4],Sigmoid,1,0.1,64,0.02408302
[4],Sigmoid,1,0.1,128,0.020291224
[4],Sigmoid,1,0.1,256,0.02246566
[4],Sigmoid,1,0.1,512,0.024567276
[4],Sigmoid,1,0.01,16,0.027815098
[4],Sigmoid,1,0.01,32,0.02465088
[4],Sigmoid,1,0.01,64,0.02456191
[4],Sigmoid,1,0.01,128,0.03685245
[4],Sigmoid,1,0.01,256,0.047458574
[4],Sigmoid,1,0.01,512,0.2897058
[4],Sigmoid,1,0.001,16,0.07376536
[4],Sigmoid,1,0.001,32,0.053584903
[4],Sigmoid,1,0.001,64,0.18972343
[4],Sigmoid,1,0.001,128,0.113799475
[4],Sigmoid,1,0.001,256,0.16482507
[4],Sigmoid,1,0.001,512,1.010426
[4],Sigmoid,1,0.0001,16,0.086826384
[4],Sigmoid,1,0.0001,32,0.1426773
[4],Sigmoid,1,0.0001,64,0.1461034
[4],Sigmoid,1,0.0001,128,0.12376931
[4],Sigmoid,1,0.0001,256,0.08370332
[4],Sigmoid,1,0.0001,512,0.96344936
[4],Sigmoid,10,0.1,16,0.016430473
[4],Sigmoid,10,0.1,32,0.016050298
[4],Sigmoid,10,0.1,64,0.016195418
[4],Sigmoid,10,0.1,128,0.01682467
[4],Sigmoid,10,0.1,256,0.017619919
[4],Sigmoid,10,0.1,512,0.021740595
[4],Sigmoid,10,0.01,16,0.017117716
[4],Sigmoid,10,0.01,32,0.018957643
[4],Sigmoid,10,0.01,64,0.021485563
[4],Sigmoid,10,0.01,128,0.020507153
[4],Sigmoid,10,0.01,256,0.019552078
[4],Sigmoid,10,0.01,512,0.027089644
[4],Sigmoid,10,0.001,16,0.020564485
[4],Sigmoid,10,0.001,32,0.020147309
[4],Sigmoid,10,0.001,64,0.026587924
[4],Sigmoid,10,0.001,128,0.031503767
[4],Sigmoid,10,0.001,256,0.078735605
[4],Sigmoid,10,0.001,512,0.47806856
[4],Sigmoid,10,0.0001,16,0.10414091
[4],Sigmoid,10,0.0001,32,0.22260845
[4],Sigmoid,10,0.0001,64,1.004413
[4],Sigmoid,10,0.0001,128,0.91908467
[4],Sigmoid,10,0.0001,256,0.10993873
[4],Sigmoid,10,0.0001,512,0.8513959
[4],Sigmoid,25,0.1,16,0.016786775
[4],Sigmoid,25,0.1,32,0.015875125
[4],Sigmoid,25,0.1,64,0.016059248
[4],Sigmoid,25,0.1,128,0.016640387
[4],Sigmoid,25,0.1,256,0.01642052
[4],Sigmoid,25,0.1,512,0.021201067
