Hidden Layers,Activation Function,Epochs,Learning Rate,Batch Size,MSE
[16],ReLU,100,0.1,16,0.013457952
[16],ReLU,100,0.1,32,0.014091455
[16],ReLU,100,0.1,64,0.013840128
[16],ReLU,100,0.1,128,0.01418815
[16],ReLU,100,0.1,256,0.014398416
[16],ReLU,100,0.1,512,0.014926901
[16],ReLU,100,0.01,16,0.013772324
[16],ReLU,100,0.01,32,0.014575595
[16],ReLU,100,0.01,64,0.015228061
[16],ReLU,100,0.01,128,0.015573943
[16],ReLU,100,0.01,256,0.017707372
[16],ReLU,100,0.01,512,0.019143876
[16],ReLU,100,0.001,16,0.01697842
[16],ReLU,100,0.001,32,0.016869329
[16],ReLU,100,0.001,64,0.017036436
[16],ReLU,100,0.001,128,0.025054766
[16],ReLU,100,0.001,256,0.03041179
[16],ReLU,100,0.001,512,0.030729609
[16],ReLU,100,0.0001,16,0.030866023
[16],ReLU,100,0.0001,32,0.04325896
[16],ReLU,100,0.0001,64,0.035903994
[16],ReLU,100,0.0001,128,0.06565827
[16],ReLU,100,0.0001,256,0.2257849
[16],ReLU,100,0.0001,512,0.26544282
[16],ReLU,250,0.1,16,0.014086914
[16],ReLU,250,0.1,32,0.013485339
[16],ReLU,250,0.1,64,0.0147751905
[16],ReLU,250,0.1,128,0.014268491
[16],ReLU,250,0.1,256,0.01407358
[16],ReLU,250,0.1,512,0.013960371
[16],ReLU,250,0.01,16,0.013599329
[16],ReLU,250,0.01,32,0.014381286
[16],ReLU,250,0.01,64,0.014504513
[16],ReLU,250,0.01,128,0.014809618
[16],ReLU,250,0.01,256,0.015516825
[16],ReLU,250,0.01,512,0.016854664
[16],ReLU,250,0.001,16,0.014598225
[16],ReLU,250,0.001,32,0.016235214
[16],ReLU,250,0.001,64,0.015710566
[16],ReLU,250,0.001,128,0.016864717
[16],ReLU,250,0.001,256,0.02632034
[16],ReLU,250,0.001,512,0.022938097
[16],ReLU,250,0.0001,16,0.020345798
[16],ReLU,250,0.0001,32,0.026158039
[16],ReLU,250,0.0001,64,0.030362502
[16],ReLU,250,0.0001,128,0.033214293
[16],ReLU,250,0.0001,256,0.076355904
[16],ReLU,250,0.0001,512,0.1861836
[16],Tanh,1,0.1,16,0.017068436
[16],Tanh,1,0.1,32,0.016780768
[16],Tanh,1,0.1,64,0.016473709
[16],Tanh,1,0.1,128,0.017193833
[16],Tanh,1,0.1,256,0.021416217
[16],Tanh,1,0.1,512,0.024497807
[16],Tanh,1,0.01,16,0.017514138
[16],Tanh,1,0.01,32,0.029898064
[16],Tanh,1,0.01,64,0.046306487
[16],Tanh,1,0.01,128,0.10342626
[16],Tanh,1,0.01,256,0.120796785
[16],Tanh,1,0.01,512,0.29224262
[16],Tanh,1,0.001,16,0.17699523
[16],Tanh,1,0.001,32,0.20491551
[16],Tanh,1,0.001,64,0.3533549
[16],Tanh,1,0.001,128,0.5935516
[16],Tanh,1,0.001,256,0.16299199
[16],Tanh,1,0.001,512,0.26608413
[16],Tanh,1,0.0001,16,0.26135477
[16],Tanh,1,0.0001,32,0.20138828
[16],Tanh,1,0.0001,64,0.1420886
[16],Tanh,1,0.0001,128,0.4443915
[16],Tanh,1,0.0001,256,0.14328417
[16],Tanh,1,0.0001,512,0.16742764
[16],Tanh,10,0.1,16,0.01537927
[16],Tanh,10,0.1,32,0.015379872
[16],Tanh,10,0.1,64,0.01575563
[16],Tanh,10,0.1,128,0.016095683
[16],Tanh,10,0.1,256,0.016357675
[16],Tanh,10,0.1,512,0.016594457
[16],Tanh,10,0.01,16,0.01622749
[16],Tanh,10,0.01,32,0.017292766
[16],Tanh,10,0.01,64,0.01687684
[16],Tanh,10,0.01,128,0.017974578
[16],Tanh,10,0.01,256,0.022144439
[16],Tanh,10,0.01,512,0.0603126
[16],Tanh,10,0.001,16,0.017593054
[16],Tanh,10,0.001,32,0.026447983
[16],Tanh,10,0.001,64,0.040210694
[16],Tanh,10,0.001,128,0.09280805
[16],Tanh,10,0.001,256,0.16263069
[16],Tanh,10,0.001,512,0.32470617
[16],Tanh,10,0.0001,16,0.08162394
[16],Tanh,10,0.0001,32,0.27734083
[16],Tanh,10,0.0001,64,0.33701113
[16],Tanh,10,0.0001,128,0.16285983
[16],Tanh,10,0.0001,256,0.57416123
[16],Tanh,10,0.0001,512,0.40767398
[16],Tanh,25,0.1,16,0.014743721
[16],Tanh,25,0.1,32,0.014970051
[16],Tanh,25,0.1,64,0.014957906
[16],Tanh,25,0.1,128,0.015553875
[16],Tanh,25,0.1,256,0.015960785
[16],Tanh,25,0.1,512,0.01592469
[16],Tanh,25,0.01,16,0.015547813
[16],Tanh,25,0.01,32,0.01665136
[16],Tanh,25,0.01,64,0.016225625
[16],Tanh,25,0.01,128,0.016015885
[16],Tanh,25,0.01,256,0.01632963
[16],Tanh,25,0.01,512,0.021521876
[16],Tanh,25,0.001,16,0.016663302
[16],Tanh,25,0.001,32,0.020211626
[16],Tanh,25,0.001,64,0.02177361
[16],Tanh,25,0.001,128,0.043882255
[16],Tanh,25,0.001,256,0.10023032
[16],Tanh,25,0.001,512,0.15490878
[16],Tanh,25,0.0001,16,0.042778242
[16],Tanh,25,0.0001,32,0.07334004
[16],Tanh,25,0.0001,64,0.12818804
[16],Tanh,25,0.0001,128,0.18862024
[16],Tanh,25,0.0001,256,0.1378116
[16],Tanh,25,0.0001,512,0.48328105
[16],Tanh,50,0.1,16,0.01452643
[16],Tanh,50,0.1,32,0.014751677
[16],Tanh,50,0.1,64,0.015659241
[16],Tanh,50,0.1,128,0.015187844
[16],Tanh,50,0.1,256,0.015461194
[16],Tanh,50,0.1,512,0.015759505
[16],Tanh,50,0.01,16,0.015203735
[16],Tanh,50,0.01,32,0.015550382
[16],Tanh,50,0.01,64,0.016112449
[16],Tanh,50,0.01,128,0.016303988
[16],Tanh,50,0.01,256,0.015891733
[16],Tanh,50,0.01,512,0.018492399
[16],Tanh,50,0.001,16,0.015729826
[16],Tanh,50,0.001,32,0.016251376
[16],Tanh,50,0.001,64,0.017922666
[16],Tanh,50,0.001,128,0.023322312
[16],Tanh,50,0.001,256,0.03938238
[16],Tanh,50,0.001,512,0.09322727
[16],Tanh,50,0.0001,16,0.025560368
[16],Tanh,50,0.0001,32,0.031722303
[16],Tanh,50,0.0001,64,0.08091368
[16],Tanh,50,0.0001,128,0.14085783
[16],Tanh,50,0.0001,256,0.17909485
[16],Tanh,50,0.0001,512,0.22264518
[16],Tanh,100,0.1,16,0.014533395
[16],Tanh,100,0.1,32,0.014405425
[16],Tanh,100,0.1,64,0.014287856
[16],Tanh,100,0.1,128,0.014643325
[16],Tanh,100,0.1,256,0.014512973
[16],Tanh,100,0.1,512,0.015477938
[16],Tanh,100,0.01,16,0.014434686
[16],Tanh,100,0.01,32,0.015388849
[16],Tanh,100,0.01,64,0.015483527
[16],Tanh,100,0.01,128,0.015393535
[16],Tanh,100,0.01,256,0.016264046
[16],Tanh,100,0.01,512,0.01667772
[16],Tanh,100,0.001,16,0.015811851
[16],Tanh,100,0.001,32,0.016700624
[16],Tanh,100,0.001,64,0.017779903
[16],Tanh,100,0.001,128,0.016414084
[16],Tanh,100,0.001,256,0.029723128
[16],Tanh,100,0.001,512,0.02632323
[16],Tanh,100,0.0001,16,0.02026349
[16],Tanh,100,0.0001,32,0.022863649
[16],Tanh,100,0.0001,64,0.04746479
[16],Tanh,100,0.0001,128,0.12784858
[16],Tanh,100,0.0001,256,0.09726728
[16],Tanh,100,0.0001,512,0.27970546
[16],Tanh,250,0.1,16,0.013925152
[16],Tanh,250,0.1,32,0.014295991
[16],Tanh,250,0.1,64,0.015399153
[16],Tanh,250,0.1,128,0.01440675
[16],Tanh,250,0.1,256,0.014564622
[16],Tanh,250,0.1,512,0.014430087
[16],Tanh,250,0.01,16,0.014247914
[16],Tanh,250,0.01,32,0.01457149
[16],Tanh,250,0.01,64,0.014865789
[16],Tanh,250,0.01,128,0.015651206
[16],Tanh,250,0.01,256,0.015686315
[16],Tanh,250,0.01,512,0.015673866
[16],Tanh,250,0.001,16,0.016279753
[16],Tanh,250,0.001,32,0.015484606
[16],Tanh,250,0.001,64,0.015982533
[16],Tanh,250,0.001,128,0.016085986
[16],Tanh,250,0.001,256,0.017893884
[16],Tanh,250,0.001,512,0.023811294
[16],Tanh,250,0.0001,16,0.017134465
[16],Tanh,250,0.0001,32,0.01873505
[16],Tanh,250,0.0001,64,0.027610626
[16],Tanh,250,0.0001,128,0.035658598
[16],Tanh,250,0.0001,256,0.09315648
[16],Tanh,250,0.0001,512,0.17020063
[32],Identity,1,0.1,16,0.018201899
[32],Identity,1,0.1,32,0.018898727
[32],Identity,1,0.1,64,0.01669734
[32],Identity,1,0.1,128,0.016744303
[32],Identity,1,0.1,256,0.017410228
[32],Identity,1,0.1,512,0.02269836
[32],Identity,1,0.01,16,0.016251134
[32],Identity,1,0.01,32,0.016653989
[32],Identity,1,0.01,64,0.0316433
[32],Identity,1,0.01,128,0.044932034
[32],Identity,1,0.01,256,0.0650328
[32],Identity,1,0.01,512,0.17781262
[32],Identity,1,0.001,16,0.055315398
[32],Identity,1,0.001,32,0.14708997
[32],Identity,1,0.001,64,0.24359924
[32],Identity,1,0.001,128,0.5450279
[32],Identity,1,0.001,256,0.3948198
[32],Identity,1,0.001,512,0.18758492
[32],Identity,1,0.0001,16,0.24289191
[32],Identity,1,0.0001,32,0.34446442
[32],Identity,1,0.0001,64,0.24405123
[32],Identity,1,0.0001,128,0.380563
[32],Identity,1,0.0001,256,0.28319672
[32],Identity,1,0.0001,512,0.49666852
[32],Identity,10,0.1,16,0.021870118
[32],Identity,10,0.1,32,0.021058343
[32],Identity,10,0.1,64,0.018378038
[32],Identity,10,0.1,128,0.016085424
[32],Identity,10,0.1,256,0.016603509
[32],Identity,10,0.1,512,0.01599855
[32],Identity,10,0.01,16,0.01568314
[32],Identity,10,0.01,32,0.015776776
[32],Identity,10,0.01,64,0.016785404
[32],Identity,10,0.01,128,0.01597896
[32],Identity,10,0.01,256,0.016357932
[32],Identity,10,0.01,512,0.029245364
[32],Identity,10,0.001,16,0.016756002
[32],Identity,10,0.001,32,0.017439237
[32],Identity,10,0.001,64,0.029702576
[32],Identity,10,0.001,128,0.07309922
[32],Identity,10,0.001,256,0.12991522
[32],Identity,10,0.001,512,0.2937367
[32],Identity,10,0.0001,16,0.04254969
[32],Identity,10,0.0001,32,0.27202386
[32],Identity,10,0.0001,64,0.19451016
[32],Identity,10,0.0001,128,0.4861234
[32],Identity,10,0.0001,256,0.23863198
[32],Identity,10,0.0001,512,0.18400332
[32],Identity,25,0.1,16,0.016249577
[32],Identity,25,0.1,32,0.017774817
[32],Identity,25,0.1,64,0.018784294
[32],Identity,25,0.1,128,0.016067024
[32],Identity,25,0.1,256,0.016638052
[32],Identity,25,0.1,512,0.015999442
[32],Identity,25,0.01,16,0.015623386
[32],Identity,25,0.01,32,0.015979351
[32],Identity,25,0.01,64,0.016310552
[32],Identity,25,0.01,128,0.01666604
[32],Identity,25,0.01,256,0.015936065
[32],Identity,25,0.01,512,0.017681586
[32],Identity,25,0.001,16,0.01609181
[32],Identity,25,0.001,32,0.016154993
[32],Identity,25,0.001,64,0.016523628
[32],Identity,25,0.001,128,0.019984802
[32],Identity,25,0.001,256,0.029804189
[32],Identity,25,0.001,512,0.07778836
[32],Identity,25,0.0001,16,0.021833526
[32],Identity,25,0.0001,32,0.084638216
[32],Identity,25,0.0001,64,0.13201012
[32],Identity,25,0.0001,128,0.29542294
[32],Identity,25,0.0001,256,0.33857524
[32],Identity,25,0.0001,512,0.34763744
[32],Identity,50,0.1,16,0.016466362
[32],Identity,50,0.1,32,0.016219962
[32],Identity,50,0.1,64,0.017757444
[32],Identity,50,0.1,128,0.016052386
[32],Identity,50,0.1,256,0.015878296
[32],Identity,50,0.1,512,0.01575323
[32],Identity,50,0.01,16,0.015970904
[32],Identity,50,0.01,32,0.015737357
[32],Identity,50,0.01,64,0.015892109
[32],Identity,50,0.01,128,0.016131943
[32],Identity,50,0.01,256,0.0161088
[32],Identity,50,0.01,512,0.015919287
[32],Identity,50,0.001,16,0.016049728
[32],Identity,50,0.001,32,0.016246222
[32],Identity,50,0.001,64,0.016395248
[32],Identity,50,0.001,128,0.016249808
[32],Identity,50,0.001,256,0.02587822
[32],Identity,50,0.001,512,0.036161687
[32],Identity,50,0.0001,16,0.018529462
[32],Identity,50,0.0001,32,0.03329401
[32],Identity,50,0.0001,64,0.04250342
[32],Identity,50,0.0001,128,0.09166275
[32],Identity,50,0.0001,256,0.122088715
[32],Identity,50,0.0001,512,0.28942728
[32],Identity,100,0.1,16,0.01625784
[32],Identity,100,0.1,32,0.016615754
[32],Identity,100,0.1,64,0.017451314
[32],Identity,100,0.1,128,0.015749486
[32],Identity,100,0.1,256,0.016583532
[32],Identity,100,0.1,512,0.01586843
[32],Identity,100,0.01,16,0.01605057
[32],Identity,100,0.01,32,0.015969032
[32],Identity,100,0.01,64,0.015853738
[32],Identity,100,0.01,128,0.015685719
[32],Identity,100,0.01,256,0.01610591
[32],Identity,100,0.01,512,0.01569289
[32],Identity,100,0.001,16,0.015780654
[32],Identity,100,0.001,32,0.01615655
[32],Identity,100,0.001,64,0.015965672
[32],Identity,100,0.001,128,0.015875647
[32],Identity,100,0.001,256,0.016530816
[32],Identity,100,0.001,512,0.026622238
[32],Identity,100,0.0001,16,0.017174834
[32],Identity,100,0.0001,32,0.018667407
[32],Identity,100,0.0001,64,0.026268352
[32],Identity,100,0.0001,128,0.052559726
[32],Identity,100,0.0001,256,0.11468447
[32],Identity,100,0.0001,512,0.25605544
[32],Identity,250,0.1,16,0.015962373
[32],Identity,250,0.1,32,0.016225692
[32],Identity,250,0.1,64,0.016449274
[32],Identity,250,0.1,128,0.016226003
[32],Identity,250,0.1,256,0.01634039
[32],Identity,250,0.1,512,0.01578616
[32],Identity,250,0.01,16,0.016847778
[32],Identity,250,0.01,32,0.015794305
[32],Identity,250,0.01,64,0.01578172
[32],Identity,250,0.01,128,0.015826963
[32],Identity,250,0.01,256,0.015787436
[32],Identity,250,0.01,512,0.015837198
[32],Identity,250,0.001,16,0.015858456
[32],Identity,250,0.001,32,0.015824864
[32],Identity,250,0.001,64,0.015880615
[32],Identity,250,0.001,128,0.015756287
[32],Identity,250,0.001,256,0.01620139
[32],Identity,250,0.001,512,0.016375234
[32],Identity,250,0.0001,16,0.015638484
[32],Identity,250,0.0001,32,0.017765325
[32],Identity,250,0.0001,64,0.017705893
[32],Identity,250,0.0001,128,0.020790497
[32],Identity,250,0.0001,256,0.029606426
[32],Identity,250,0.0001,512,0.07654406
[32],Sigmoid,1,0.1,16,0.029792665
[32],Sigmoid,1,0.1,32,0.035287615
[32],Sigmoid,1,0.1,64,0.033307422
[32],Sigmoid,1,0.1,128,0.020740852
[32],Sigmoid,1,0.1,256,0.043039795
[32],Sigmoid,1,0.1,512,0.022238253
[32],Sigmoid,1,0.01,16,0.02016215
[32],Sigmoid,1,0.01,32,0.022728547
[32],Sigmoid,1,0.01,64,0.02972951
[32],Sigmoid,1,0.01,128,0.025668254
[32],Sigmoid,1,0.01,256,0.027204895
[32],Sigmoid,1,0.01,512,0.03376763
[32],Sigmoid,1,0.001,16,0.02390719
[32],Sigmoid,1,0.001,32,0.023847366
[32],Sigmoid,1,0.001,64,0.11474284
[32],Sigmoid,1,0.001,128,0.35526758
[32],Sigmoid,1,0.001,256,0.09203559
[32],Sigmoid,1,0.001,512,0.05838047
[32],Sigmoid,1,0.0001,16,0.16635501
[32],Sigmoid,1,0.0001,32,0.077918105
[32],Sigmoid,1,0.0001,64,0.17464918
[32],Sigmoid,1,0.0001,128,0.5225666
[32],Sigmoid,1,0.0001,256,0.08889029
[32],Sigmoid,1,0.0001,512,0.44040322
[32],Sigmoid,10,0.1,16,0.020274427
[32],Sigmoid,10,0.1,32,0.043776765
[32],Sigmoid,10,0.1,64,0.018035445
[32],Sigmoid,10,0.1,128,0.016036384
[32],Sigmoid,10,0.1,256,0.015758246
[32],Sigmoid,10,0.1,512,0.018641593
[32],Sigmoid,10,0.01,16,0.015923282
[32],Sigmoid,10,0.01,32,0.017046113
[32],Sigmoid,10,0.01,64,0.01808045
[32],Sigmoid,10,0.01,128,0.021576975
[32],Sigmoid,10,0.01,256,0.02361389
[32],Sigmoid,10,0.01,512,0.022445548
[32],Sigmoid,10,0.001,16,0.020554338
[32],Sigmoid,10,0.001,32,0.02426301
[32],Sigmoid,10,0.001,64,0.023669776
[32],Sigmoid,10,0.001,128,0.024595568
[32],Sigmoid,10,0.001,256,0.02467957
[32],Sigmoid,10,0.001,512,0.020553686
[32],Sigmoid,10,0.0001,16,0.025413238
[32],Sigmoid,10,0.0001,32,0.02599903
[32],Sigmoid,10,0.0001,64,0.07139628
[32],Sigmoid,10,0.0001,128,0.09762131
[32],Sigmoid,10,0.0001,256,0.26047865
[32],Sigmoid,10,0.0001,512,0.18035834
[32],Sigmoid,25,0.1,16,0.01801854
[32],Sigmoid,25,0.1,32,0.018327082
[32],Sigmoid,25,0.1,64,0.015825002
[32],Sigmoid,25,0.1,128,0.017704979
[32],Sigmoid,25,0.1,256,0.017308652
[32],Sigmoid,25,0.1,512,0.016244361
[32],Sigmoid,25,0.01,16,0.015932895
[32],Sigmoid,25,0.01,32,0.01614726
[32],Sigmoid,25,0.01,64,0.016425818
[32],Sigmoid,25,0.01,128,0.01656097
[32],Sigmoid,25,0.01,256,0.018791305
[32],Sigmoid,25,0.01,512,0.018530544
[32],Sigmoid,25,0.001,16,0.018518455
[32],Sigmoid,25,0.001,32,0.019731317
[32],Sigmoid,25,0.001,64,0.023617223
[32],Sigmoid,25,0.001,128,0.025467873
[32],Sigmoid,25,0.001,256,0.02502714
[32],Sigmoid,25,0.001,512,0.025845828
[32],Sigmoid,25,0.0001,16,0.024241136
[32],Sigmoid,25,0.0001,32,0.02692149
[32],Sigmoid,25,0.0001,64,0.027756069
[32],Sigmoid,25,0.0001,128,0.033270657
[32],Sigmoid,25,0.0001,256,0.109903105
[32],Sigmoid,25,0.0001,512,0.16825418
[32],Sigmoid,50,0.1,16,0.015701016
[32],Sigmoid,50,0.1,32,0.01786158
[32],Sigmoid,50,0.1,64,0.01872317
[32],Sigmoid,50,0.1,128,0.016219398
[32],Sigmoid,50,0.1,256,0.015915167
[32],Sigmoid,50,0.1,512,0.015880682
[32],Sigmoid,50,0.01,16,0.015923338
[32],Sigmoid,50,0.01,32,0.015713444
[32],Sigmoid,50,0.01,64,0.015649999
[32],Sigmoid,50,0.01,128,0.017150193
[32],Sigmoid,50,0.01,256,0.01638479
[32],Sigmoid,50,0.01,512,0.02065993
[32],Sigmoid,50,0.001,16,0.016236108
[32],Sigmoid,50,0.001,32,0.01966897
[32],Sigmoid,50,0.001,64,0.0181294
[32],Sigmoid,50,0.001,128,0.0219738
[32],Sigmoid,50,0.001,256,0.027079813
[32],Sigmoid,50,0.001,512,0.021959178
[32],Sigmoid,50,0.0001,16,0.021268783
[32],Sigmoid,50,0.0001,32,0.028001804
[32],Sigmoid,50,0.0001,64,0.022676367
[32],Sigmoid,50,0.0001,128,0.035893865
[32],Sigmoid,50,0.0001,256,0.053833116
[32],Sigmoid,50,0.0001,512,0.06480874
[32],Sigmoid,100,0.1,16,0.028124465
[32],Sigmoid,100,0.1,32,0.01643894
[32],Sigmoid,100,0.1,64,0.015619624
[32],Sigmoid,100,0.1,128,0.017492734
[32],Sigmoid,100,0.1,256,0.019114766
[32],Sigmoid,100,0.1,512,0.01625215
[32],Sigmoid,100,0.01,16,0.015353197
[32],Sigmoid,100,0.01,32,0.016059803
[32],Sigmoid,100,0.01,64,0.015981097
[32],Sigmoid,100,0.01,128,0.015867857
[32],Sigmoid,100,0.01,256,0.016263997
[32],Sigmoid,100,0.01,512,0.016963301
[32],Sigmoid,100,0.001,16,0.015895313
[32],Sigmoid,100,0.001,32,0.016247805
[32],Sigmoid,100,0.001,64,0.0171075
[32],Sigmoid,100,0.001,128,0.019190649
[32],Sigmoid,100,0.001,256,0.020442726
[32],Sigmoid,100,0.001,512,0.024103668
[32],Sigmoid,100,0.0001,16,0.019160384
[32],Sigmoid,100,0.0001,32,0.019557355
[32],Sigmoid,100,0.0001,64,0.025059782
[32],Sigmoid,100,0.0001,128,0.022270195
[32],Sigmoid,100,0.0001,256,0.03288575
[32],Sigmoid,100,0.0001,512,0.039373968
[32],Sigmoid,250,0.1,16,0.0157596
[32],Sigmoid,250,0.1,32,0.018597212
[32],Sigmoid,250,0.1,64,0.014652116
[32],Sigmoid,250,0.1,128,0.0158156
[32],Sigmoid,250,0.1,256,0.01597298
[32],Sigmoid,250,0.1,512,0.015728317
[32],Sigmoid,250,0.01,16,0.015137066
[32],Sigmoid,250,0.01,32,0.015602218
[32],Sigmoid,250,0.01,64,0.015727727
[32],Sigmoid,250,0.01,128,0.015816608
[32],Sigmoid,250,0.01,256,0.016261607
[32],Sigmoid,250,0.01,512,0.016119579
[32],Sigmoid,250,0.001,16,0.01581612
[32],Sigmoid,250,0.001,32,0.016056634
[32],Sigmoid,250,0.001,64,0.016174527
[32],Sigmoid,250,0.001,128,0.016947068
[32],Sigmoid,250,0.001,256,0.018519456
[32],Sigmoid,250,0.001,512,0.021880202
[32],Sigmoid,250,0.0001,16,0.01839758
[32],Sigmoid,250,0.0001,32,0.021582806
[32],Sigmoid,250,0.0001,64,0.023015294
[32],Sigmoid,250,0.0001,128,0.020453354
[32],Sigmoid,250,0.0001,256,0.023506768
[32],Sigmoid,250,0.0001,512,0.030754214
[32],ReLU,1,0.1,16,0.017126877
[32],ReLU,1,0.1,32,0.018110441
[32],ReLU,1,0.1,64,0.023745237
[32],ReLU,1,0.1,128,0.021125171
[32],ReLU,1,0.1,256,0.03319888
[32],ReLU,1,0.1,512,0.038436722
[32],ReLU,1,0.01,16,0.023113279
[32],ReLU,1,0.01,32,0.04091177
[32],ReLU,1,0.01,64,0.04323725
[32],ReLU,1,0.01,128,0.05443545
[32],ReLU,1,0.01,256,0.08798226
[32],ReLU,1,0.01,512,0.1592814
[32],ReLU,1,0.001,16,0.055090524
[32],ReLU,1,0.001,32,0.20049603
[32],ReLU,1,0.001,64,0.27184042
[32],ReLU,1,0.001,128,0.1421245
[32],ReLU,1,0.001,256,0.6874272
[32],ReLU,1,0.001,512,0.15522203
[32],ReLU,1,0.0001,16,0.27599743
[32],ReLU,1,0.0001,32,0.07812252
[32],ReLU,1,0.0001,64,0.048986655
[32],ReLU,1,0.0001,128,0.41535628
[32],ReLU,1,0.0001,256,0.42578208
[32],ReLU,1,0.0001,512,0.3426165
[32],ReLU,10,0.1,16,0.0150611345
[32],ReLU,10,0.1,32,0.015076498
[32],ReLU,10,0.1,64,0.016929941
[32],ReLU,10,0.1,128,0.015859857
[32],ReLU,10,0.1,256,0.016595008
[32],ReLU,10,0.1,512,0.018375969
[32],ReLU,10,0.01,16,0.016320582
[32],ReLU,10,0.01,32,0.017300248
[32],ReLU,10,0.01,64,0.01833866
[32],ReLU,10,0.01,128,0.024894387
[32],ReLU,10,0.01,256,0.034179978
[32],ReLU,10,0.01,512,0.044357665
[32],ReLU,10,0.001,16,0.028650949
[32],ReLU,10,0.001,32,0.03267706
[32],ReLU,10,0.001,64,0.052181337
[32],ReLU,10,0.001,128,0.052293766
[32],ReLU,10,0.001,256,0.09122442
[32],ReLU,10,0.001,512,0.275178
[32],ReLU,10,0.0001,16,0.0782559
[32],ReLU,10,0.0001,32,0.07115931
[32],ReLU,10,0.0001,64,0.12204654
[32],ReLU,10,0.0001,128,0.11630785
[32],ReLU,10,0.0001,256,0.32578927
[32],ReLU,10,0.0001,512,0.3816293
[32],ReLU,25,0.1,16,0.0154855335
[32],ReLU,25,0.1,32,0.014450995
[32],ReLU,25,0.1,64,0.026219608
[32],ReLU,25,0.1,128,0.0152757745
[32],ReLU,25,0.1,256,0.015230426
[32],ReLU,25,0.1,512,0.015883602
[32],ReLU,25,0.01,16,0.014799211
[32],ReLU,25,0.01,32,0.015699381
[32],ReLU,25,0.01,64,0.016798202
[32],ReLU,25,0.01,128,0.017512575
[32],ReLU,25,0.01,256,0.024844037
[32],ReLU,25,0.01,512,0.02427895
[32],ReLU,25,0.001,16,0.018749451
[32],ReLU,25,0.001,32,0.023244841
[32],ReLU,25,0.001,64,0.040798973
[32],ReLU,25,0.001,128,0.04687529
[32],ReLU,25,0.001,256,0.053121738
[32],ReLU,25,0.001,512,0.112279825
[32],ReLU,25,0.0001,16,0.044253517
[32],ReLU,25,0.0001,32,0.055523235
[32],ReLU,25,0.0001,64,0.12436365
[32],ReLU,25,0.0001,128,0.27527925
[32],ReLU,25,0.0001,256,0.09279991
[32],ReLU,25,0.0001,512,0.3944983
[32],ReLU,50,0.1,16,0.014517834
[32],ReLU,50,0.1,32,0.014128683
[32],ReLU,50,0.1,64,0.0145907225
[32],ReLU,50,0.1,128,0.014566763
[32],ReLU,50,0.1,256,0.014657395
[32],ReLU,50,0.1,512,0.015479413
[32],ReLU,50,0.01,16,0.014331794
[32],ReLU,50,0.01,32,0.0146416705
[32],ReLU,50,0.01,64,0.016087612
[32],ReLU,50,0.01,128,0.017130168
[32],ReLU,50,0.01,256,0.018092042
[32],ReLU,50,0.01,512,0.021374166
[32],ReLU,50,0.001,16,0.017640103
[32],ReLU,50,0.001,32,0.021002626
[32],ReLU,50,0.001,64,0.026427155
[32],ReLU,50,0.001,128,0.025782606
[32],ReLU,50,0.001,256,0.041871298
[32],ReLU,50,0.001,512,0.040702812
[32],ReLU,50,0.0001,16,0.042814378
[32],ReLU,50,0.0001,32,0.036680494
[32],ReLU,50,0.0001,64,0.046468392
[32],ReLU,50,0.0001,128,0.09216918
[32],ReLU,50,0.0001,256,0.10177213
[32],ReLU,50,0.0001,512,0.37177983
[32],ReLU,100,0.1,16,0.016402083
[32],ReLU,100,0.1,32,0.014193428
[32],ReLU,100,0.1,64,0.014419785
[32],ReLU,100,0.1,128,0.014142736
[32],ReLU,100,0.1,256,0.014227131
[32],ReLU,100,0.1,512,0.014487848
[32],ReLU,100,0.01,16,0.014077165
[32],ReLU,100,0.01,32,0.0144250095
[32],ReLU,100,0.01,64,0.014596591
[32],ReLU,100,0.01,128,0.01601108
[32],ReLU,100,0.01,256,0.017942343
[32],ReLU,100,0.01,512,0.018331388
[32],ReLU,100,0.001,16,0.015829988
[32],ReLU,100,0.001,32,0.017532337
[32],ReLU,100,0.001,64,0.021097293
[32],ReLU,100,0.001,128,0.021029297
[32],ReLU,100,0.001,256,0.031301633
[32],ReLU,100,0.001,512,0.036609255
[32],ReLU,100,0.0001,16,0.033145368
[32],ReLU,100,0.0001,32,0.057263948
[32],ReLU,100,0.0001,64,0.04256265
[32],ReLU,100,0.0001,128,0.07989455
[32],ReLU,100,0.0001,256,0.059178762
[32],ReLU,100,0.0001,512,0.09424245
[32],ReLU,250,0.1,16,0.015206423
[32],ReLU,250,0.1,32,0.0138358595
[32],ReLU,250,0.1,64,0.014025012
[32],ReLU,250,0.1,128,0.014089047
[32],ReLU,250,0.1,256,0.013976231
[32],ReLU,250,0.1,512,0.01449583
[32],ReLU,250,0.01,16,0.013827178
[32],ReLU,250,0.01,32,0.013841819
[32],ReLU,250,0.01,64,0.014205635
[32],ReLU,250,0.01,128,0.014627847
[32],ReLU,250,0.01,256,0.015609471
[32],ReLU,250,0.01,512,0.015434151
[32],ReLU,250,0.001,16,0.014765155
[32],ReLU,250,0.001,32,0.015654491
[32],ReLU,250,0.001,64,0.016288504
[32],ReLU,250,0.001,128,0.018629987
[32],ReLU,250,0.001,256,0.0213601
[32],ReLU,250,0.001,512,0.030503916
[32],ReLU,250,0.0001,16,0.017515844
[32],ReLU,250,0.0001,32,0.030665355
